epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.684,1.56968,1.27228,1.24757,0.79385,0.77626,0.79852,0.44079,1.37044,1.88593,1.16279,0.0691479,0.00244034,0.00244034
2,377.89,1.41591,1.02989,1.19,0.84134,0.74218,0.81027,0.48947,1.32225,1.02964,1.1584,0.0381612,0.00478698,0.00478698
3,560.228,1.38188,0.97213,1.1731,0.87624,0.82893,0.88294,0.55981,1.18638,0.96595,1.08479,0.00707771,0.00703686,0.00703686
4,760.402,1.29766,0.88345,1.13891,0.91432,0.85285,0.8946,0.59568,1.13016,0.76231,1.05469,0.0068946,0.0068946,0.0068946
5,959.485,1.23227,0.82305,1.10166,0.90538,0.86167,0.90587,0.58615,1.10676,0.75175,1.0547,0.00674946,0.00674946,0.00674946
6,1159.61,1.18609,0.7771,1.08909,0.90766,0.85131,0.90555,0.62595,1.04086,0.68548,1.01614,0.00660433,0.00660433,0.00660433
7,1358.86,1.14808,0.74003,1.06539,0.91489,0.88492,0.91707,0.63028,1.0411,0.67809,0.99333,0.0064592,0.0064592,0.0064592
8,1556.9,1.13977,0.73117,1.04705,0.91848,0.87647,0.91926,0.63177,1.01641,0.64557,1.00551,0.00631406,0.00631406,0.00631406
9,1756.01,1.12588,0.7058,1.04414,0.92893,0.88172,0.92945,0.64672,1.01725,0.6292,0.98182,0.00616893,0.00616893,0.00616893
10,1946.9,1.08571,0.68352,1.03508,0.91899,0.8733,0.9248,0.65658,0.98231,0.60208,0.98877,0.00602379,0.00602379,0.00602379
11,2136.14,1.09439,0.67349,1.03346,0.91139,0.88256,0.91838,0.6507,0.98251,0.62774,0.98103,0.00587866,0.00587866,0.00587866
12,2322.91,1.06972,0.66776,1.01737,0.93141,0.88893,0.93923,0.67381,0.92748,0.55741,0.95796,0.00573353,0.00573353,0.00573353
13,2508.73,1.04068,0.63957,1.01563,0.92399,0.88132,0.93375,0.67161,0.9521,0.58126,0.96401,0.00558839,0.00558839,0.00558839
14,2686.32,1.05379,0.65295,1.0198,0.91456,0.87289,0.9291,0.65833,0.94261,0.59135,0.96333,0.00544326,0.00544326,0.00544326
15,2868.25,1.03836,0.63706,1.01261,0.91454,0.89255,0.93446,0.67386,0.93386,0.56341,0.97335,0.00529812,0.00529812,0.00529812
16,3053.47,1.02936,0.62041,1.01318,0.91818,0.89537,0.92817,0.67668,0.90111,0.5958,0.96027,0.00515299,0.00515299,0.00515299
17,3228.93,1.01195,0.61129,1.00882,0.92179,0.89793,0.93902,0.69707,0.87635,0.52358,0.94851,0.00500786,0.00500786,0.00500786
18,3411.72,1.01478,0.59601,1.00292,0.94025,0.89594,0.94621,0.67135,0.9634,0.53267,0.96057,0.00486272,0.00486272,0.00486272
19,3599.04,1.01039,0.5943,1.0031,0.92784,0.8919,0.93836,0.68412,0.9203,0.52994,0.95812,0.00471759,0.00471759,0.00471759
20,3786.15,0.9933,0.58812,1.00229,0.91935,0.89495,0.93467,0.6788,0.91765,0.52961,0.95456,0.00457245,0.00457245,0.00457245
21,3977.61,0.98563,0.57486,0.99463,0.91983,0.88793,0.93341,0.6862,0.8864,0.53786,0.95501,0.00442732,0.00442732,0.00442732
22,4172.26,0.97451,0.58139,0.98405,0.90785,0.90457,0.93312,0.68841,0.89373,0.53176,0.94965,0.00428219,0.00428219,0.00428219
23,4367.79,0.96753,0.56842,0.98873,0.92745,0.89182,0.94081,0.69329,0.88141,0.51175,0.94098,0.00413705,0.00413705,0.00413705
24,4553.85,0.97979,0.56898,0.98841,0.90993,0.9158,0.94194,0.70057,0.86641,0.49778,0.94392,0.00399192,0.00399192,0.00399192
25,4744.43,0.94787,0.54347,0.98436,0.92964,0.8953,0.93971,0.69317,0.8572,0.49195,0.94069,0.00384678,0.00384678,0.00384678
26,4933.76,0.94287,0.5559,0.98474,0.9164,0.90658,0.94154,0.71153,0.85187,0.49791,0.94125,0.00370165,0.00370165,0.00370165
27,5125.54,0.94341,0.553,0.98415,0.91913,0.90217,0.94245,0.70369,0.85926,0.50381,0.94806,0.00355652,0.00355652,0.00355652
28,5315.6,0.94563,0.54514,0.98426,0.93418,0.89214,0.94817,0.70978,0.83989,0.4886,0.93473,0.00341138,0.00341138,0.00341138
29,5498.82,0.92204,0.54157,0.97369,0.93167,0.9021,0.94374,0.70172,0.8501,0.4851,0.93303,0.00326625,0.00326625,0.00326625
30,5684.4,0.91679,0.53455,0.97372,0.93681,0.89764,0.94903,0.71237,0.83776,0.47971,0.93067,0.00312111,0.00312111,0.00312111
31,5868.5,0.91594,0.52707,0.97311,0.93629,0.89896,0.94556,0.71493,0.8229,0.45827,0.93013,0.00297598,0.00297598,0.00297598
32,6053,0.91999,0.52262,0.98502,0.94079,0.89134,0.94325,0.6997,0.83792,0.46633,0.93455,0.00283085,0.00283085,0.00283085
33,6234.3,0.91307,0.52322,0.96607,0.92956,0.89535,0.94649,0.70919,0.83267,0.47943,0.92924,0.00268571,0.00268571,0.00268571
34,6418.56,0.91768,0.51874,0.9763,0.94145,0.88975,0.94933,0.71189,0.83397,0.46581,0.93037,0.00254058,0.00254058,0.00254058
35,6601.05,0.90206,0.5218,0.9723,0.94121,0.89334,0.94909,0.72158,0.81498,0.45911,0.9248,0.00239544,0.00239544,0.00239544
36,6782.45,0.90364,0.5148,0.97228,0.94101,0.89553,0.95179,0.7275,0.82223,0.44843,0.92534,0.00225031,0.00225031,0.00225031
37,6965.94,0.89486,0.51033,0.97197,0.93151,0.89535,0.94827,0.7134,0.81708,0.45584,0.92929,0.00210518,0.00210518,0.00210518
38,7147.52,0.88819,0.50198,0.96103,0.9242,0.89953,0.94744,0.71863,0.83232,0.45808,0.92781,0.00196004,0.00196004,0.00196004
39,7326.43,0.90046,0.50651,0.96905,0.93191,0.89816,0.94983,0.72415,0.80279,0.45111,0.92301,0.00181491,0.00181491,0.00181491
40,7512.53,0.8783,0.50038,0.96605,0.92916,0.90818,0.95287,0.73051,0.80408,0.44716,0.92563,0.00166977,0.00166977,0.00166977
41,7711.01,0.84116,0.46037,0.9586,0.93858,0.89775,0.94993,0.72669,0.80181,0.45279,0.92141,0.00152464,0.00152464,0.00152464
42,7908.53,0.83956,0.46155,0.95013,0.92999,0.89936,0.94872,0.72552,0.81718,0.44867,0.92143,0.00137951,0.00137951,0.00137951
43,8105.73,0.84002,0.45927,0.95541,0.93971,0.90002,0.9522,0.73423,0.80123,0.43805,0.92182,0.00123437,0.00123437,0.00123437
44,8303.02,0.83106,0.44503,0.95586,0.92196,0.9166,0.95479,0.73289,0.80894,0.42856,0.92052,0.00108924,0.00108924,0.00108924
45,8500.49,0.81989,0.43766,0.93859,0.93401,0.91373,0.9556,0.73885,0.79333,0.42158,0.91641,0.000944104,0.000944104,0.000944104
46,8697.92,0.82293,0.43308,0.94862,0.94735,0.89495,0.95511,0.73691,0.79526,0.41962,0.91709,0.00079897,0.00079897,0.00079897
47,8895.28,0.80482,0.42889,0.9395,0.94058,0.90377,0.95542,0.73832,0.78352,0.41585,0.91711,0.000653836,0.000653836,0.000653836
48,9092.77,0.80349,0.41949,0.93862,0.94246,0.90136,0.95583,0.74611,0.77758,0.41001,0.91656,0.000508702,0.000508702,0.000508702
49,9290.3,0.7903,0.41941,0.93755,0.94045,0.90551,0.95723,0.74703,0.77909,0.40536,0.91601,0.000363568,0.000363568,0.000363568
50,9488.38,0.7912,0.41936,0.9358,0.94472,0.90455,0.95799,0.748,0.77849,0.40196,0.91373,0.000218434,0.000218434,0.000218434
